Run,Iteration,Ratio,Selected Variables,Selected Wavelengths,Accuracy,N components,RMSECV
170,1,1.0,552,552 wavelengths,0.972972972972973,4.0,True
170,2,0.937972055474286,384,384 wavelengths,0.9864864864864865,4.0,True
170,3,0.879791576850657,323,323 wavelengths,1.0,4.0,True
170,4,0.825219913727574,277,277 wavelengths,1.0,4.0,True
170,5,0.7740332186973654,241,241 wavelengths,1.0,4.0,True
170,6,0.7260215291469454,216,216 wavelengths,1.0,4.0,True
170,7,0.6809879060125446,204,204 wavelengths,1.0,4.0,True
170,8,0.6387476259557163,182,182 wavelengths,1.0,4.0,True
170,9,0.5991274236470037,171,171 wavelengths,1.0,4.0,True
170,10,0.5619647810491933,156,156 wavelengths,1.0,4.0,True
170,11,0.5271072607848689,147,147 wavelengths,1.0,4.0,True
170,12,0.49441188085380394,140,140 wavelengths,0.9864864864864865,4.0,True
170,13,0.4637445281353502,130,130 wavelengths,1.0,4.0,True
170,14,0.4349794082700673,124,124 wavelengths,1.0,4.0,True
170,15,0.4079985296640637,116,116 wavelengths,0.9864864864864865,4.0,True
170,16,0.38269121949948826,112,112 wavelengths,0.9864864864864865,4.0,True
170,17,0.35895366976589616,106,106 wavelengths,0.9864864864864865,4.0,True
170,18,0.33668851145035567,102,102 wavelengths,0.9864864864864865,4.0,True
170,19,0.3158044151396677,97,97 wavelengths,0.972972972972973,4.0,True
170,20,0.2962157163964089,90,90 wavelengths,0.972972972972973,4.0,True
170,21,0.2778420643721278,86,86 wavelengths,0.972972972972973,4.0,True
170,22,0.2606080922163436,76,76 wavelengths,0.9864864864864865,4.0,True
170,23,0.24444310792939605,72,72 wavelengths,0.972972972972973,4.0,True
170,24,0.22928080439105833,71,71 wavelengths,0.972972972972973,4.0,True
170,25,0.2150589873754787,66,66 wavelengths,0.972972972972973,4.0,True
170,26,0.20171932043679625,63,63 wavelengths,0.972972972972973,4.0,True
170,27,0.18920708561897795,61,61 wavelengths,0.972972972972973,4.0,True
170,28,0.17747095900833193,57,57 wavelengths,0.972972972972973,4.0,True
170,29,0.1664628002080379,52,52 wavelengths,0.972972972972973,4.0,True
170,30,0.15613745487113867,49,49 wavelengths,0.972972972972973,4.0,True
170,31,0.14645256948200552,45,45 wavelengths,0.972972972972973,4.0,True
170,32,0.13736841762652738,43,43 wavelengths,0.972972972972973,4.0,True
170,33,0.12884773703840405,40,40 wavelengths,0.972972972972973,4.0,True
170,34,0.12085557675312208,38,38 wavelengths,0.972972972972973,4.0,True
170,35,0.11335915374265627,37,37 wavelengths,0.972972972972973,4.0,True
170,36,0.10632771844282492,37,37 wavelengths,0.972972972972973,4.0,True
170,37,0.09973242862170764,34,34 wavelengths,0.972972972972973,4.0,True
170,38,0.09354623107174559,33,33 wavelengths,0.972972972972973,4.0,True
170,39,0.08774375064023773,29,29 wavelengths,0.972972972972973,4.0,True
170,40,0.082301186143047,28,28 wavelengths,0.9594594594594594,4.0,True
170,41,0.07719621273456559,27,27 wavelengths,0.9594594594594594,4.0,True
170,42,0.07240789033347075,25,25 wavelengths,0.9459459459459459,4.0,True
170,43,0.06791657772864225,24,24 wavelengths,0.9459459459459459,4.0,True
170,44,0.06370385201291369,21,21 wavelengths,0.9324324324324325,4.0,True
170,45,0.059752433014182364,21,21 wavelengths,0.9324324324324325,4.0,True
170,46,0.05604611241390222,20,20 wavelengths,0.9594594594594594,4.0,True
170,47,0.05256968726221077,19,19 wavelengths,0.9594594594594594,4.0,True
170,48,0.04930889761697621,18,18 wavelengths,0.9459459459459459,4.0,True
170,49,0.0462503680509663,15,15 wavelengths,0.9459459459459459,4.0,True
170,50,0.043381552787207116,14,14 wavelengths,0.9459459459459459,4.0,True
170,51,0.0406906842374829,14,14 wavelengths,0.9459459459459459,4.0,True
170,52,0.03816672473288696,13,13 wavelengths,0.9459459459459459,4.0,True
170,53,0.03579932124842725,12,12 wavelengths,0.9459459459459459,4.0,True
170,54,0.03357876293597159,10,499.31 - 504.19 - 505.164 - 690.193 - 733.38 - 737.734 - 749.008 - 751.169 - 758.927 - 763.223,0.9054054054054054,4.0,True
170,55,0.031495941291337044,10,499.31 - 504.19 - 505.164 - 690.193 - 733.38 - 737.734 - 749.008 - 751.169 - 758.927 - 763.223,0.9054054054054054,4.0,True
170,56,0.029542312792132836,10,499.31 - 504.19 - 505.164 - 690.193 - 733.38 - 737.734 - 749.008 - 751.169 - 758.927 - 763.223,0.9054054054054054,4.0,True
170,57,0.027709863853101133,9,499.31 - 504.19 - 505.164 - 690.193 - 733.38 - 737.734 - 749.008 - 758.927 - 763.223,0.8648648648648649,4.0,True
170,58,0.025991077955205888,6,504.19 - 505.164 - 733.38 - 737.734 - 758.927 - 763.223,0.7972972972972973,4.0,True
170,59,0.024378904813636863,6,504.19 - 505.164 - 733.38 - 737.734 - 758.927 - 763.223,0.7972972972972973,4.0,True
170,60,0.022866731458258936,4,504.19 - 505.164 - 733.38 - 737.734,0.9054054054054054,4.0,True
170,61,0.02144835510788165,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,62,0.020117957727082157,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,63,0.018870082161216047,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,64,0.017699609751724465,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,65,0.01660173933991771,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,66,0.015571967573110938,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,67,0.01460607043232979,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,68,0.013700085905814561,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,69,0.012850297737251187,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,70,0.012053220182066058,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,71,0.011305583709256654,3,504.19 - 733.38 - 737.734,0.8648648648648649,4.0,True
170,72,0.010604321590108063,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,73,0.009946557318784004,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,74,0.009329592813192641,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,75,0.008750897347728423,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,76,0.008208097172493305,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,77,0.007698965776416224,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,78,0.007221414754331306,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,79,0.006773485240552469,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,80,0.006353339873805741,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,81,0.0059592552605603095,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,82,0.0055896149058437036,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,83,0.005242902582543929,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,84,0.00491769611200017,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,85,0.004612661530370705,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,86,0.004326547616848976,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,87,0.0040581807612832055,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,88,0.0038064601501470127,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,89,0.003570353251114352,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,90,0.003348891577717027,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,91,0.003141166716711766,2,733.38 - 737.734,0.8243243243243243,4.0,True
170,92,0.0029463266018615484,1,737.734,0.6486486486486487,4.0,True
170,93,0.0027635720188466436,1,737.734,0.6486486486486487,4.0,True
170,94,0.0025921533269688104,1,737.734,0.6486486486486487,4.0,True
170,95,0.002431367384201443,1,737.734,0.6486486486486487,4.0,True
170,96,0.0022805546629725646,1,737.734,0.6486486486486487,4.0,True
170,97,0.0021390965448498454,1,737.734,0.6486486486486487,4.0,True
170,98,0.0020064127830307517,1,737.734,0.6486486486486487,4.0,True
170,99,0.001881959122229238,1,737.734,0.6486486486486487,4.0,True
170,100,0.001765225066195941,1,737.734,0.6486486486486487,4.0,True
